position 1_tdc_data,position 1_tac_data,position 1_pdc_data,position 1_pac_data_0,position 1_pac_data_1,position 1_pac_data_2,position 1_pac_data_3,position 1_pac_data_4,position 1_pac_data_5,position 1_pac_data_6,position 1_pac_data_7,position 1_pac_data_8,position 1_pac_data_9,position 1_pac_data_10,position 1_pac_data_11,position 1_pac_data_12,position 1_pac_data_13,position 1_pac_data_14,position 1_pac_data_15,position 1_pac_data_16,position 1_pac_data_17,position 1_pac_data_18,position 1_pac_data_19,position 1_pac_data_20,position 1_pac_data_21,position 1_elec_data_0,position 1_elec_data_1,position 1_elec_data_2,position 1_elec_data_3,position 1_elec_data_4,position 1_elec_data_5,position 1_elec_data_6,position 1_elec_data_7,position 1_elec_data_8,position 1_elec_data_9,position 1_elec_data_10,position 1_elec_data_11,position 1_elec_data_12,position 1_elec_data_13,position 1_elec_data_14,position 1_elec_data_15,position 1_elec_data_16,position 1_elec_data_17,position 1_elec_data_18,header_from_controller_start,frame_collection_from_header
1494.0,2206.0,2235.0,1867.0,1909.0,1913.0,1918.0,2032.0,1942.0,1907.0,1965.0,1807.0,1845.0,1839.0,1847.0,1859.0,1801.0,1754.0,1843.0,1818.0,1829.0,1850.0,1838.0,1844.0,1845.0,2921.0,3356.0,3361.0,3193.0,3345.0,3145.0,2943.0,3052.0,3030.0,3151.0,2619.0,3294.0,3336.0,3155.0,3325.0,3136.0,3256.0,3354.0,3319.0,185.742256558,0.019246675
1496.0,2204.0,2240.0,1810.0,1811.0,1797.0,1801.0,1803.0,1816.0,1797.0,1797.0,1803.0,1829.0,1806.0,1819.0,1823.0,1856.0,1864.0,1805.0,1787.0,1800.0,1783.0,1769.0,1758.0,1786.0,2930.0,3358.0,3365.0,3196.0,3344.0,3147.0,2941.0,3052.0,3028.0,3149.0,2613.0,3291.0,3333.0,3153.0,3324.0,3134.0,3256.0,3353.0,3318.0,185.762256605,0.019956079
1495.0,2200.0,2241.0,1923.0,1935.0,1949.0,1978.0,2027.0,1956.0,1924.0,1930.0,1900.0,1906.0,1983.0,1958.0,1955.0,1993.0,1953.0,1962.0,1987.0,2001.0,2023.0,2011.0,2034.0,2025.0,2935.0,3359.0,3367.0,3199.0,3346.0,3149.0,2943.0,3054.0,3027.0,3149.0,2607.0,3290.0,3331.0,3151.0,3325.0,3133.0,3255.0,3353.0,3319.0,185.782256609,0.019253697
1496.0,2197.0,2240.0,2013.0,2003.0,2004.0,2020.0,2019.0,1962.0,1970.0,1992.0,1996.0,2037.0,2034.0,2043.0,2032.0,2024.0,2034.0,2049.0,2026.0,2045.0,2040.0,2040.0,2097.0,2076.0,2939.0,3359.0,3365.0,3200.0,3346.0,3149.0,2944.0,3053.0,3026.0,3149.0,2603.0,3287.0,3330.0,3150.0,3323.0,3130.0,3254.0,3354.0,3319.0,185.802259708,0.019959010000000003
1496.0,2194.0,2240.0,2076.0,2065.0,2044.0,2026.0,2044.0,2025.0,2034.0,2054.0,2006.0,2024.0,2028.0,2035.0,2020.0,2021.0,2044.0,2093.0,2045.0,2019.0,2045.0,2122.0,2055.0,1999.0,2935.0,3360.0,3365.0,3196.0,3347.0,3149.0,2943.0,3051.0,3030.0,3149.0,2619.0,3293.0,3334.0,3156.0,3327.0,3133.0,3255.0,3355.0,3320.0,185.822260559,0.019247025
1495.0,2192.0,2246.0,1899.0,1894.0,1919.0,1949.0,1853.0,1791.0,1796.0,1805.0,1846.0,1827.0,1793.0,1760.0,1795.0,1781.0,1873.0,1834.0,1776.0,1811.0,1798.0,1813.0,1797.0,1768.0,2921.0,3356.0,3362.0,3191.0,3346.0,3145.0,2942.0,3050.0,3032.0,3150.0,2649.0,3300.0,3340.0,3163.0,3330.0,3139.0,3256.0,3355.0,3319.0,185.842256385,0.01923833
1494.0,2189.0,2250.0,1770.0,1788.0,1744.0,1745.0,1806.0,1798.0,1815.0,1788.0,1812.0,1858.0,1837.0,1890.0,1897.0,1871.0,1885.0,1880.0,1879.0,1875.0,1868.0,1885.0,1854.0,1879.0,2917.0,3353.0,3361.0,3187.0,3345.0,3144.0,2943.0,3047.0,3032.0,3147.0,2661.0,3301.0,3341.0,3164.0,3331.0,3140.0,3255.0,3355.0,3320.0,185.862256849,0.019965848
1494.0,2184.0,2250.0,1912.0,1897.0,1928.0,1965.0,1969.0,1986.0,1985.0,1991.0,1994.0,1995.0,2030.0,2052.0,2035.0,1994.0,1990.0,2008.0,2011.0,1996.0,2026.0,2013.0,2021.0,2040.0,2924.0,3355.0,3361.0,3190.0,3347.0,3144.0,2942.0,3050.0,3030.0,3146.0,2651.0,3298.0,3337.0,3164.0,3330.0,3137.0,3255.0,3355.0,3322.0,185.882257973,0.019244186
1496.0,2178.0,2251.0,2047.0,2032.0,2061.0,2062.0,2060.0,2096.0,2082.0,2101.0,2093.0,2089.0,2101.0,2106.0,2093.0,2103.0,2077.0,2093.0,2076.0,2039.0,2014.0,2003.0,1992.0,1970.0,2932.0,3358.0,3364.0,3194.0,3345.0,3146.0,2944.0,3051.0,3030.0,3148.0,2639.0,3293.0,3337.0,3158.0,3327.0,3135.0,3254.0,3354.0,3321.0,185.90225931,0.019959089000000003
1495.0,2173.0,2252.0,2052.0,2013.0,1982.0,1977.0,1967.0,1989.0,2000.0,1962.0,1938.0,1954.0,1953.0,1974.0,1976.0,2011.0,1992.0,2001.0,1991.0,1988.0,2003.0,2019.0,2018.0,2014.0,2931.0,3356.0,3361.0,3195.0,3346.0,3146.0,2944.0,3050.0,3030.0,3146.0,2644.0,3295.0,3339.0,3161.0,3328.0,3139.0,3255.0,3354.0,3319.0,185.922261545,0.019253004
1493.0,2169.0,2253.0,1943.0,1978.0,1972.0,1949.0,1958.0,1945.0,1987.0,1988.0,1981.0,1982.0,1961.0,1936.0,1975.0,1956.0,1967.0,2018.0,1999.0,1974.0,1993.0,1997.0,2045.0,2052.0,2927.0,3355.0,3361.0,3194.0,3346.0,3146.0,2945.0,3050.0,3030.0,3147.0,2656.0,3298.0,3340.0,3166.0,3330.0,3139.0,3256.0,3354.0,3321.0,185.942269715,0.01924932
1494.0,2167.0,2252.0,2007.0,1987.0,2014.0,2046.0,2079.0,2104.0,2078.0,2066.0,2082.0,2115.0,2140.0,2140.0,2111.0,2114.0,2080.0,2076.0,2041.0,2014.0,2021.0,2041.0,1998.0,2029.0,2919.0,3352.0,3359.0,3188.0,3343.0,3142.0,2945.0,3047.0,3030.0,3146.0,2670.0,3302.0,3342.0,3168.0,3330.0,3142.0,3255.0,3354.0,3321.0,185.962259089,0.019951101000000002
1495.0,2162.0,2253.0,2102.0,2067.0,2083.0,2076.0,2093.0,2083.0,2110.0,2146.0,2096.0,2119.0,2091.0,2055.0,2076.0,2094.0,2074.0,2072.0,2018.0,2018.0,2010.0,2012.0,2048.0,2037.0,2915.0,3352.0,3359.0,3187.0,3345.0,3142.0,2945.0,3049.0,3033.0,3150.0,2675.0,3306.0,3342.0,3169.0,3333.0,3143.0,3255.0,3354.0,3321.0,185.98226038,0.019248432000000003
1494.0,2162.0,2252.0,2029.0,2013.0,2036.0,2070.0,2082.0,2146.0,2153.0,2133.0,2128.0,2137.0,2134.0,2140.0,2137.0,2137.0,2071.0,2074.0,2077.0,2080.0,2069.0,2091.0,2079.0,2052.0,2915.0,3351.0,3360.0,3187.0,3342.0,3145.0,2944.0,3048.0,3031.0,3148.0,2666.0,3303.0,3341.0,3165.0,3331.0,3140.0,3254.0,3355.0,3321.0,186.002262114,0.019240553
1495.0,2157.0,2249.0,2184.0,2157.0,2112.0,2087.0,2097.0,2119.0,2140.0,2085.0,2086.0,2138.0,2103.0,2064.0,2071.0,2095.0,2136.0,2143.0,2095.0,2111.0,2163.0,2204.0,2249.0,2259.0,2922.0,3356.0,3363.0,3191.0,3345.0,3146.0,2944.0,3049.0,3029.0,3148.0,2653.0,3299.0,3341.0,3164.0,3330.0,3139.0,3256.0,3354.0,3320.0,186.022262292,0.019233239000000003
1496.0,2151.0,2246.0,2264.0,2244.0,2213.0,2250.0,2236.0,2217.0,2174.0,2172.0,2194.0,2221.0,2218.0,2207.0,2213.0,2202.0,2182.0,2216.0,2192.0,2206.0,2260.0,2238.0,2249.0,2265.0,2925.0,3355.0,3363.0,3191.0,3345.0,3146.0,2943.0,3051.0,3031.0,3148.0,2647.0,3300.0,3338.0,3163.0,3330.0,3138.0,3256.0,3355.0,3320.0,186.0422592,0.019242717000000003
1493.0,2147.0,2243.0,2286.0,2277.0,2241.0,2230.0,2184.0,2193.0,2198.0,2160.0,2171.0,2132.0,2134.0,2167.0,2144.0,2194.0,2259.0,2249.0,2210.0,2214.0,2198.0,2231.0,2259.0,2259.0,2921.0,3353.0,3362.0,3191.0,3345.0,3144.0,2943.0,3049.0,3031.0,3147.0,2646.0,3298.0,3339.0,3162.0,3329.0,3139.0,3257.0,3354.0,3321.0,186.062260164,0.019950197000000003
1493.0,2144.0,2245.0,2034.0,2050.0,1996.0,1928.0,1971.0,1965.0,2043.0,2045.0,2011.0,2007.0,2025.0,2051.0,2072.0,2080.0,2060.0,2051.0,2048.0,2045.0,2015.0,2010.0,2014.0,2010.0,2919.0,3354.0,3360.0,3187.0,3345.0,3143.0,2941.0,3051.0,3032.0,3149.0,2650.0,3299.0,3339.0,3162.0,3331.0,3139.0,3256.0,3354.0,3321.0,186.082260924,0.01923892
1493.0,2141.0,2248.0,1984.0,1973.0,1995.0,2003.0,2026.0,2038.0,2054.0,2025.0,1992.0,1994.0,1971.0,2001.0,2024.0,1946.0,1889.0,1949.0,1963.0,1968.0,1959.0,1909.0,1934.0,1924.0,2919.0,3355.0,3359.0,3190.0,3345.0,3144.0,2944.0,3049.0,3029.0,3148.0,2651.0,3297.0,3340.0,3162.0,3329.0,3139.0,3255.0,3353.0,3322.0,186.102263249,0.019244766
1494.0,2135.0,2248.0,1896.0,1916.0,1939.0,1967.0,1976.0,2029.0,2039.0,2017.0,2039.0,2006.0,2012.0,1999.0,1972.0,1933.0,1916.0,1940.0,1929.0,1960.0,1973.0,1975.0,1987.0,2010.0,2918.0,3352.0,3359.0,3188.0,3345.0,3145.0,2943.0,3050.0,3031.0,3149.0,2657.0,3299.0,3341.0,3164.0,3330.0,3142.0,3256.0,3354.0,3320.0,186.122263625,0.019241300000000003
1495.0,2132.0,2251.0,1959.0,1926.0,1915.0,1916.0,1930.0,1958.0,1932.0,1969.0,1964.0,1936.0,1951.0,1984.0,1962.0,1923.0,1929.0,1937.0,1875.0,1867.0,1931.0,1893.0,1929.0,1939.0,2918.0,3352.0,3359.0,3190.0,3345.0,3143.0,2943.0,3049.0,3031.0,3147.0,2663.0,3302.0,3341.0,3166.0,3332.0,3142.0,3255.0,3354.0,3323.0,186.142261453,0.019237628
1494.0,2129.0,2253.0,1916.0,1923.0,1894.0,1918.0,1925.0,1927.0,1947.0,1914.0,1945.0,1974.0,1975.0,1968.0,1975.0,1985.0,1957.0,1961.0,1927.0,1889.0,1859.0,1878.0,1861.0,1837.0,2915.0,3351.0,3359.0,3187.0,3343.0,3143.0,2942.0,3047.0,3030.0,3147.0,2669.0,3302.0,3340.0,3167.0,3331.0,3143.0,3254.0,3354.0,3322.0,186.162260437,0.019957935
1494.0,2125.0,2257.0,1891.0,1898.0,1869.0,1852.0,1888.0,1922.0,1896.0,1878.0,1874.0,1806.0,1778.0,1828.0,1874.0,1856.0,1896.0,1849.0,1749.0,1818.0,1835.0,1918.0,1937.0,1926.0,2917.0,3354.0,3362.0,3190.0,3346.0,3145.0,2943.0,3049.0,3031.0,3147.0,2674.0,3303.0,3342.0,3170.0,3333.0,3142.0,3254.0,3355.0,3322.0,186.182262282,0.019242912
1492.0,2124.0,2259.0,1926.0,1989.0,1951.0,1925.0,2011.0,1977.0,2023.0,2067.0,2064.0,2027.0,1999.0,1981.0,1979.0,1973.0,1937.0,1987.0,1936.0,1908.0,1966.0,2034.0,2053.0,2015.0,2921.0,3352.0,3360.0,3189.0,3346.0,3144.0,2943.0,3047.0,3029.0,3147.0,2672.0,3301.0,3344.0,3169.0,3332.0,3141.0,3252.0,3355.0,3322.0,186.202264667,0.019253422000000003
1494.0,2119.0,2256.0,2120.0,2098.0,2129.0,2135.0,2171.0,2177.0,2103.0,2140.0,2154.0,2128.0,2140.0,2137.0,2151.0,2137.0,2129.0,2122.0,2103.0,2119.0,2111.0,2079.0,2047.0,2050.0,2919.0,3352.0,3359.0,3189.0,3345.0,3143.0,2943.0,3047.0,3031.0,3147.0,2673.0,3303.0,3341.0,3168.0,3332.0,3142.0,3255.0,3355.0,3323.0,186.222264763,0.019248891
1495.0,2115.0,2257.0,2093.0,2098.0,2094.0,2072.0,2125.0,2043.0,2047.0,2064.0,2052.0,2058.0,2103.0,2080.0,1997.0,2020.0,2002.0,2017.0,1985.0,1978.0,1975.0,2024.0,2101.0,2043.0,2919.0,3352.0,3360.0,3189.0,3343.0,3145.0,2943.0,3046.0,3030.0,3146.0,2672.0,3302.0,3342.0,3166.0,3332.0,3142.0,3255.0,3355.0,3320.0,186.242261695,0.019243874
1494.0,2112.0,2260.0,2069.0,2029.0,1991.0,1947.0,1941.0,1913.0,1935.0,1902.0,1951.0,2023.0,1935.0,1931.0,1990.0,1957.0,2049.0,2005.0,1988.0,2008.0,1969.0,1970.0,1939.0,1983.0,2929.0,3355.0,3362.0,3191.0,3345.0,3147.0,2943.0,3049.0,3028.0,3147.0,2660.0,3297.0,3340.0,3163.0,3329.0,3139.0,3254.0,3354.0,3321.0,186.26226244,0.019958863
1494.0,2112.0,2261.0,1964.0,1908.0,1902.0,1938.0,1999.0,1974.0,2001.0,2052.0,2062.0,2053.0,2080.0,2027.0,2018.0,1939.0,1929.0,1944.0,1894.0,1953.0,1899.0,1845.0,1827.0,1779.0,2936.0,3357.0,3365.0,3197.0,3347.0,3149.0,2943.0,3051.0,3027.0,3147.0,2648.0,3295.0,3335.0,3159.0,3329.0,3136.0,3253.0,3354.0,3322.0,186.282267302,0.019257895
1493.0,2106.0,2265.0,1836.0,1844.0,1878.0,1931.0,1931.0,1884.0,1881.0,1858.0,1865.0,1848.0,1839.0,1874.0,1878.0,1879.0,1858.0,1805.0,1853.0,1770.0,1781.0,1854.0,1863.0,1833.0,2943.0,3357.0,3365.0,3198.0,3349.0,3151.0,2944.0,3050.0,3026.0,3145.0,2649.0,3293.0,3336.0,3159.0,3328.0,3135.0,3251.0,3355.0,3322.0,186.302261752,0.019234926000000003
1496.0,2104.0,2266.0,1913.0,1928.0,1915.0,1946.0,1917.0,1994.0,1978.0,1941.0,1937.0,1928.0,1980.0,1997.0,1883.0,1926.0,1931.0,1948.0,1968.0,1946.0,1931.0,1948.0,2000.0,1996.0,2947.0,3359.0,3366.0,3202.0,3348.0,3151.0,2944.0,3051.0,3025.0,3144.0,2645.0,3292.0,3335.0,3157.0,3329.0,3135.0,3251.0,3354.0,3322.0,186.322264523,0.019975415
1493.0,2100.0,2264.0,2074.0,2075.0,2066.0,2095.0,2031.0,2062.0,2126.0,2167.0,2143.0,2106.0,2097.0,2094.0,2116.0,2192.0,2203.0,2178.0,2119.0,2140.0,2181.0,2203.0,2157.0,2153.0,2947.0,3358.0,3367.0,3201.0,3349.0,3151.0,2945.0,3050.0,3024.0,3143.0,2640.0,3289.0,3333.0,3156.0,3329.0,3134.0,3250.0,3354.0,3321.0,186.342262772,0.01922441
1495.0,2100.0,2262.0,2171.0,2156.0,2138.0,2123.0,2138.0,2158.0,2121.0,2070.0,2032.0,2062.0,2050.0,2063.0,2064.0,2111.0,2093.0,2110.0,2183.0,2200.0,2196.0,2200.0,2151.0,2142.0,2948.0,3359.0,3366.0,3200.0,3349.0,3152.0,2943.0,3050.0,3025.0,3146.0,2635.0,3289.0,3331.0,3155.0,3326.0,3135.0,3250.0,3354.0,3322.0,186.362263755,0.019961658
1496.0,2094.0,2263.0,1978.0,1987.0,2058.0,2055.0,1986.0,1997.0,1990.0,1947.0,1965.0,2002.0,2029.0,2017.0,2027.0,2003.0,1997.0,2007.0,2025.0,2058.0,2067.0,2131.0,2110.0,2053.0,2950.0,3361.0,3367.0,3204.0,3349.0,3153.0,2944.0,3051.0,3024.0,3143.0,2632.0,3286.0,3332.0,3154.0,3325.0,3134.0,3252.0,3355.0,3321.0,186.382265084,0.019249753
1493.0,2093.0,2261.0,2067.0,2082.0,2077.0,2072.0,2086.0,2118.0,2090.0,2097.0,2096.0,2113.0,2172.0,2176.0,2195.0,2171.0,2194.0,2180.0,2194.0,2163.0,2230.0,2248.0,2213.0,2201.0,2951.0,3361.0,3367.0,3203.0,3348.0,3152.0,2944.0,3052.0,3025.0,3146.0,2635.0,3288.0,3333.0,3156.0,3326.0,3135.0,3252.0,3355.0,3322.0,186.402263387,0.019233448
1493.0,2090.0,2259.0,2234.0,2207.0,2224.0,2194.0,2206.0,2207.0,2210.0,2227.0,2222.0,2195.0,2175.0,2147.0,2141.0,2164.0,2225.0,2283.0,2235.0,2211.0,2240.0,2225.0,2237.0,2258.0,2946.0,3359.0,3365.0,3200.0,3349.0,3149.0,2943.0,3052.0,3026.0,3146.0,2637.0,3292.0,3334.0,3159.0,3328.0,3135.0,3253.0,3354.0,3322.0,186.422265992,0.019973887000000003
1495.0,2086.0,2254.0,2282.0,2315.0,2303.0,2231.0,2243.0,2224.0,2191.0,2164.0,2138.0,2119.0,2106.0,2164.0,2167.0,2156.0,2169.0,2176.0,2207.0,2237.0,2197.0,2235.0,2236.0,2219.0,2939.0,3357.0,3365.0,3198.0,3347.0,3149.0,2944.0,3051.0,3027.0,3146.0,2637.0,3291.0,3335.0,3157.0,3327.0,3137.0,3253.0,3354.0,3320.0,186.442263443,0.01923725
1493.0,2085.0,2256.0,2120.0,2111.0,2149.0,2137.0,2141.0,2171.0,2129.0,2133.0,2163.0,2153.0,2114.0,2172.0,2160.0,2143.0,2153.0,2168.0,2153.0,2117.0,2085.0,2114.0,2113.0,2107.0,2938.0,3358.0,3364.0,3197.0,3346.0,3148.0,2943.0,3050.0,3025.0,3145.0,2631.0,3291.0,3334.0,3157.0,3326.0,3133.0,3252.0,3355.0,3321.0,186.462264321,0.019963854
